,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
9027,PARAMOUR (feat. AURORA)___Sub Urban,2022-06-08 17:53,Sub Urban,PARAMOUR (feat. AURORA),168433,2022-06-08 17:53:00,0.716,0.465,2,-7.818,1,0.236,0.553,1.14e-06,0.771,0.575,165.836,audio_features,1erjalqVwLQT2t1ZWcas9P,spotify:track:1erjalqVwLQT2t1ZWcas9P,https://api.spotify.com/v1/tracks/1erjalqVwLQT2t1ZWcas9P,https://api.spotify.com/v1/audio-analysis/1erjalqVwLQT2t1ZWcas9P,168434,4,PARAMOUR (feat. AURORA),79NhJfhqNZgDUJtwIn1V1k
9028,Running With The Wolves___AURORA,2022-06-08 17:56,AURORA,Running With The Wolves,194760,2022-06-08 17:56:00,0.531,0.568,5,-5.53,1,0.0571,0.253,7.7e-05,0.26,0.438,164.127,audio_features,6r6n5OmXkdsOxN2iCj5UE0,spotify:track:6r6n5OmXkdsOxN2iCj5UE0,https://api.spotify.com/v1/tracks/6r6n5OmXkdsOxN2iCj5UE0,https://api.spotify.com/v1/audio-analysis/6r6n5OmXkdsOxN2iCj5UE0,194760,4,All My Demons Greeting Me As A Friend (Deluxe),6YMSXPIHkA2jPIlFHuejXW
9029,Cure For Me___AURORA,2022-06-08 17:59,AURORA,Cure For Me,198853,2022-06-08 17:59:00,0.722,0.764,6,-5.86,0,0.0554,0.0933,1.82e-05,0.088,0.416,115.917,audio_features,7kEva2rxsNMn07fyfZMRRn,spotify:track:7kEva2rxsNMn07fyfZMRRn,https://api.spotify.com/v1/tracks/7kEva2rxsNMn07fyfZMRRn,https://api.spotify.com/v1/audio-analysis/7kEva2rxsNMn07fyfZMRRn,201640,4,Cure For Me,0wmk4PJg0PWWaADQeAVO6N
9030,Everything Matters___AURORA,2022-06-08 18:03,AURORA,Everything Matters,213906,2022-06-08 18:03:00,0.453,0.325,7,-9.758,0,0.0484,0.657,6.53e-05,0.0697,0.324,160.38,audio_features,1rMlnD8S0hX7IHZXZDt3gH,spotify:track:1rMlnD8S0hX7IHZXZDt3gH,https://api.spotify.com/v1/tracks/1rMlnD8S0hX7IHZXZDt3gH,https://api.spotify.com/v1/audio-analysis/1rMlnD8S0hX7IHZXZDt3gH,213907,3,The Gods We Can Touch,2HPgGJnpimfmFPMjP0syqY
9031,A Temporary High___AURORA,2022-06-08 18:14,AURORA,A Temporary High,203066,2022-06-08 18:14:00,0.46,0.71,0,-6.3,1,0.044,0.00187,0.00758,0.088,0.242,151.821,audio_features,0xTZXhs3eVb48PQNywMCdH,spotify:track:0xTZXhs3eVb48PQNywMCdH,https://api.spotify.com/v1/tracks/0xTZXhs3eVb48PQNywMCdH,https://api.spotify.com/v1/audio-analysis/0xTZXhs3eVb48PQNywMCdH,203067,4,The Gods We Can Touch,2HPgGJnpimfmFPMjP0syqY
9032,Half The World Away___AURORA,2022-06-08 18:18,AURORA,Half The World Away,198133,2022-06-08 18:18:00,0.62,0.11,8,-13.704,1,0.0416,0.949,6.28e-06,0.16,0.211,111.362,audio_features,21HfUACOv1lgBiYocruoW8,spotify:track:21HfUACOv1lgBiYocruoW8,https://api.spotify.com/v1/tracks/21HfUACOv1lgBiYocruoW8,https://api.spotify.com/v1/audio-analysis/21HfUACOv1lgBiYocruoW8,198133,4,All My Demons Greeting Me As A Friend (Deluxe),6YMSXPIHkA2jPIlFHuejXW
9033,Mucho Más Allá___Carmen Sarahi,2022-06-08 18:21,Carmen Sarahi,Mucho Más Allá,32986,2022-06-08 18:21:00,0.397,0.356,1,-7.614,1,0.037,0.877,0.000197,0.133,0.397,148.203,audio_features,6UWaMec3jc3ESl5hfSaejU,spotify:track:6UWaMec3jc3ESl5hfSaejU,https://api.spotify.com/v1/tracks/6UWaMec3jc3ESl5hfSaejU,https://api.spotify.com/v1/audio-analysis/6UWaMec3jc3ESl5hfSaejU,194867,3,Frozen 2 (Banda Sonora Original en Español/Edición Deluxe),1ltVI90usp38HOd7QmSSD2
9034,The Woman I Am___AURORA,2022-06-08 18:21,AURORA,The Woman I Am,730,2022-06-08 18:21:00,0.64,0.798,0,-7.39,1,0.0501,0.0999,0.00598,0.277,0.435,110.021,audio_features,1TGgecSsU9hwzNoiTb3yAO,spotify:track:1TGgecSsU9hwzNoiTb3yAO,https://api.spotify.com/v1/tracks/1TGgecSsU9hwzNoiTb3yAO,https://api.spotify.com/v1/audio-analysis/1TGgecSsU9hwzNoiTb3yAO,193240,4,The Woman I Am,6IfyuK6IvSfgwa39nFTg9S
9035,The Forbidden Fruits Of Eden___AURORA,2022-06-08 18:22,AURORA,The Forbidden Fruits Of Eden,40453,2022-06-08 18:22:00,0.241,0.0679,7,-28.446,0,0.0308,0.852,0.489,0.114,0.0389,66.043,audio_features,4DG6hJyJfg77eblNihGyUP,spotify:track:4DG6hJyJfg77eblNihGyUP,https://api.spotify.com/v1/tracks/4DG6hJyJfg77eblNihGyUP,https://api.spotify.com/v1/audio-analysis/4DG6hJyJfg77eblNihGyUP,40453,3,The Gods We Can Touch,2HPgGJnpimfmFPMjP0syqY
9036,Everything Matters___AURORA,2022-06-08 18:26,AURORA,Everything Matters,213906,2022-06-08 18:26:00,0.453,0.325,7,-9.758,0,0.0484,0.657,6.53e-05,0.0697,0.324,160.38,audio_features,1rMlnD8S0hX7IHZXZDt3gH,spotify:track:1rMlnD8S0hX7IHZXZDt3gH,https://api.spotify.com/v1/tracks/1rMlnD8S0hX7IHZXZDt3gH,https://api.spotify.com/v1/audio-analysis/1rMlnD8S0hX7IHZXZDt3gH,213907,3,The Gods We Can Touch,2HPgGJnpimfmFPMjP0syqY
9037,Giving In To The Love___AURORA,2022-06-08 18:29,AURORA,Giving In To The Love,181333,2022-06-08 18:29:00,0.587,0.921,10,-5.273,1,0.0658,0.095,0.000885,0.144,0.372,103.985,audio_features,0ocZ3MJDhUTkCmMWzhnHqq,spotify:track:0ocZ3MJDhUTkCmMWzhnHqq,https://api.spotify.com/v1/tracks/0ocZ3MJDhUTkCmMWzhnHqq,https://api.spotify.com/v1/audio-analysis/0ocZ3MJDhUTkCmMWzhnHqq,181333,4,The Gods We Can Touch,2HPgGJnpimfmFPMjP0syqY
9038,Cure For Me___AURORA,2022-06-08 18:32,AURORA,Cure For Me,198853,2022-06-08 18:32:00,0.722,0.764,6,-5.86,0,0.0554,0.0933,1.82e-05,0.088,0.416,115.917,audio_features,7kEva2rxsNMn07fyfZMRRn,spotify:track:7kEva2rxsNMn07fyfZMRRn,https://api.spotify.com/v1/tracks/7kEva2rxsNMn07fyfZMRRn,https://api.spotify.com/v1/audio-analysis/7kEva2rxsNMn07fyfZMRRn,201640,4,Cure For Me,0wmk4PJg0PWWaADQeAVO6N
9039,You Keep Me Crawling___AURORA,2022-06-08 18:49,AURORA,You Keep Me Crawling,119233,2022-06-08 18:49:00,0.567,0.623,9,-6.519,0,0.0306,0.0874,0.0598,0.125,0.225,110.127,audio_features,5zHX1aFxP5p10NI4L1nkai,spotify:track:5zHX1aFxP5p10NI4L1nkai,https://api.spotify.com/v1/tracks/5zHX1aFxP5p10NI4L1nkai,https://api.spotify.com/v1/audio-analysis/5zHX1aFxP5p10NI4L1nkai,179133,4,The Gods We Can Touch,2HPgGJnpimfmFPMjP0syqY
9040,Pretty Please___Dua Lipa,2022-06-08 19:35,Dua Lipa,Pretty Please,2630,2022-06-08 19:35:00,0.906,0.474,1,-6.124,1,0.194,0.0311,5.5e-06,0.286,0.656,106.976,audio_features,6DXZiYUbrYgrVIhfX3U9Z2,spotify:track:6DXZiYUbrYgrVIhfX3U9Z2,https://api.spotify.com/v1/tracks/6DXZiYUbrYgrVIhfX3U9Z2,https://api.spotify.com/v1/audio-analysis/6DXZiYUbrYgrVIhfX3U9Z2,194607,4,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI
9041,Boys Will Be Boys___Dua Lipa,2022-06-08 19:35,Dua Lipa,Boys Will Be Boys,166266,2022-06-08 19:35:00,0.768,0.486,3,-5.954,1,0.0353,0.408,0.0,0.098,0.519,125.021,audio_features,0vQcyuMEfRBd21ojZ62N2L,spotify:track:0vQcyuMEfRBd21ojZ62N2L,https://api.spotify.com/v1/tracks/0vQcyuMEfRBd21ojZ62N2L,https://api.spotify.com/v1/audio-analysis/0vQcyuMEfRBd21ojZ62N2L,166266,4,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI
9042,Change My Clothes___Dream,2022-06-08 19:38,Dream,Change My Clothes,186358,2022-06-08 19:38:00,0.597,0.595,9,-7.328,1,0.226,0.563,2.06e-06,0.291,0.592,169.81,audio_features,4mnjwMLCk3JZkhkok3u5g1,spotify:track:4mnjwMLCk3JZkhkok3u5g1,https://api.spotify.com/v1/tracks/4mnjwMLCk3JZkhkok3u5g1,https://api.spotify.com/v1/audio-analysis/4mnjwMLCk3JZkhkok3u5g1,186359,4,Change My Clothes,2Y5WftWX9ZA7a01NYaBX4L
