,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
1084,Teary Eyes___Katy Perry,2022-02-17 18:52,Katy Perry,Teary Eyes,182595,2022-02-17 18:52:00,0.616,0.659,7,-5.994,1,0.0404,0.104,0.0,0.079,0.441,125.962,audio_features,3i0uu4DEpcmEAudChpVDBh,spotify:track:3i0uu4DEpcmEAudChpVDBh,https://api.spotify.com/v1/tracks/3i0uu4DEpcmEAudChpVDBh,https://api.spotify.com/v1/audio-analysis/3i0uu4DEpcmEAudChpVDBh,182595,4,Smile,47zMF6LrXQ8odi6Xv1unC0
1085,Resilient___Katy Perry,2022-02-17 18:58,Katy Perry,Resilient,187821,2022-02-17 18:58:00,0.639,0.784,0,-4.905,1,0.0562,0.0435,0.0,0.111,0.321,126.946,audio_features,4abn7Lc3illnEHFc9ki6x2,spotify:track:4abn7Lc3illnEHFc9ki6x2,https://api.spotify.com/v1/tracks/4abn7Lc3illnEHFc9ki6x2,https://api.spotify.com/v1/audio-analysis/4abn7Lc3illnEHFc9ki6x2,198947,4,Resilient (ft. Aitana) [Tiësto Remix],7hmFzviCSViV9Y9VJvlfYB
1086,Not the End of the World___Katy Perry,2022-02-17 19:01,Katy Perry,Not the End of the World,178641,2022-02-17 19:01:00,0.508,0.738,2,-5.126,0,0.0579,0.119,0.0,0.0558,0.523,158.131,audio_features,2F20djOXWDSFEXu3tPdV71,spotify:track:2F20djOXWDSFEXu3tPdV71,https://api.spotify.com/v1/tracks/2F20djOXWDSFEXu3tPdV71,https://api.spotify.com/v1/audio-analysis/2F20djOXWDSFEXu3tPdV71,178642,4,Smile,47zMF6LrXQ8odi6Xv1unC0
1087,ZTM___Taco Hemingway,2022-02-17 21:14,Taco Hemingway,ZTM,279946,2022-02-17 21:14:00,0.819,0.556,10,-7.681,0,0.171,0.364,0.0,0.471,0.663,139.024,audio_features,4S6EmsixylnMPS2nb2BTHG,spotify:track:4S6EmsixylnMPS2nb2BTHG,https://api.spotify.com/v1/tracks/4S6EmsixylnMPS2nb2BTHG,https://api.spotify.com/v1/audio-analysis/4S6EmsixylnMPS2nb2BTHG,279947,4,Café Belga,6d681ZsSudFljWUiS4wGPY
1088,Abonent jest czasowo niedostępny___Taco Hemingway,2022-02-17 21:37,Taco Hemingway,Abonent jest czasowo niedostępny,273960,2022-02-17 21:37:00,0.568,0.633,7,-9.382,0,0.134,0.39,1.27e-06,0.134,0.143,110.006,audio_features,1myBhXeqZV58V6V6ij6V6E,spotify:track:1myBhXeqZV58V6V6ij6V6E,https://api.spotify.com/v1/tracks/1myBhXeqZV58V6V6ij6V6E,https://api.spotify.com/v1/audio-analysis/1myBhXeqZV58V6V6ij6V6E,273960,4,Café Belga,6d681ZsSudFljWUiS4wGPY
1089,Motorola___Taco Hemingway,2022-02-17 21:40,Taco Hemingway,Motorola,191680,2022-02-17 21:40:00,0.784,0.575,1,-9.712,1,0.23,0.42,0.0,0.151,0.273,114.063,audio_features,2XD2t8xcQBWg2iM2T8cnRa,spotify:track:2XD2t8xcQBWg2iM2T8cnRa,https://api.spotify.com/v1/tracks/2XD2t8xcQBWg2iM2T8cnRa,https://api.spotify.com/v1/audio-analysis/2XD2t8xcQBWg2iM2T8cnRa,191680,4,Café Belga,6d681ZsSudFljWUiS4wGPY
1090,Adieu___Taco Hemingway,2022-02-17 21:49,Taco Hemingway,Adieu,286986,2022-02-17 21:49:00,0.755,0.702,1,-6.782,1,0.216,0.232,0.0,0.726,0.537,100.0,audio_features,57QYCPGtr33qbyEReB7X4V,spotify:track:57QYCPGtr33qbyEReB7X4V,https://api.spotify.com/v1/tracks/57QYCPGtr33qbyEReB7X4V,https://api.spotify.com/v1/audio-analysis/57QYCPGtr33qbyEReB7X4V,286987,4,Café Belga,6d681ZsSudFljWUiS4wGPY
1091,Adieu___Taco Hemingway,2022-02-17 21:52,Taco Hemingway,Adieu,720,2022-02-17 21:52:00,0.755,0.702,1,-6.782,1,0.216,0.232,0.0,0.726,0.537,100.0,audio_features,57QYCPGtr33qbyEReB7X4V,spotify:track:57QYCPGtr33qbyEReB7X4V,https://api.spotify.com/v1/tracks/57QYCPGtr33qbyEReB7X4V,https://api.spotify.com/v1/audio-analysis/57QYCPGtr33qbyEReB7X4V,286987,4,Café Belga,6d681ZsSudFljWUiS4wGPY
1092,4 AM in Girona___Taco Hemingway,2022-02-17 21:52,Taco Hemingway,4 AM in Girona,100,2022-02-17 21:52:00,0.746,0.597,5,-9.352,0,0.0678,0.137,6.41e-06,0.669,0.319,107.02,audio_features,3LpXbJAtSPRY0cWQ8CUdai,spotify:track:3LpXbJAtSPRY0cWQ8CUdai,https://api.spotify.com/v1/tracks/3LpXbJAtSPRY0cWQ8CUdai,https://api.spotify.com/v1/audio-analysis/3LpXbJAtSPRY0cWQ8CUdai,188693,4,Café Belga,6d681ZsSudFljWUiS4wGPY
1093,4 AM in Girona___Taco Hemingway,2022-02-17 21:52,Taco Hemingway,4 AM in Girona,90736,2022-02-17 21:52:00,0.746,0.597,5,-9.352,0,0.0678,0.137,6.41e-06,0.669,0.319,107.02,audio_features,3LpXbJAtSPRY0cWQ8CUdai,spotify:track:3LpXbJAtSPRY0cWQ8CUdai,https://api.spotify.com/v1/tracks/3LpXbJAtSPRY0cWQ8CUdai,https://api.spotify.com/v1/audio-analysis/3LpXbJAtSPRY0cWQ8CUdai,188693,4,Café Belga,6d681ZsSudFljWUiS4wGPY
